order_tstamp,wp_code,merchant_store_name,customer_reference,netsuite_invoice_number,channel_order_status,status_in_odoo,channel_code,channel_name,sku,product,principal,business_line,cogs,market_price,qty_order,value_ordered,gmv_exctax,picking_time,qty_picked,value_picked,handover_3pl_time,qty_routed,value_routed,delivered_time,qty_delivered,qty_return,value_delivered,value_return,warehouse,buyer_phone,shipping_longitude,shipping_latitude,transaction_source
2024-02-06 10:35:00+00:00,,,PO-25037799,,Cancelled,,rubix-orami_ORAMI,Orami Official Store - ORAMI,GNB0R35,Goo.N Smile Baby Comfort Fit L-18 .,'-,,,11800.0,3,35400.0,31506.0,,3.0,35400.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,6281380397453,,,Orami
2024-02-06 10:35:00+00:00,,,PO-25037799,,Cancelled,,rubix-orami_ORAMI,Orami Official Store - ORAMI,GNB0Q99,Goo.N Smile Baby Comfort Fit M-1,'-,,,61800.0,1,61800.0,55002.0,,1.0,61800.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,6281380397453,,,Orami
2024-02-06 12:08:00+00:00,,,PO-25038866,,Cancelled,,rubix-orami_ORAMI,Orami Official Store - ORAMI,GNB0R35,Goo.N Smile Baby Comfort Fit L-18 .,'-,,,11800.0,3,35400.0,31506.0,,3.0,35400.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,6281289132150,,,Orami
2024-02-06 12:08:00+00:00,,,PO-25038866,,Cancelled,,rubix-orami_ORAMI,Orami Official Store - ORAMI,GNB0Q99,Goo.N Smile Baby Comfort Fit M-1,'-,,,61800.0,1,61800.0,55002.0,,1.0,61800.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,6281289132150,,,Orami
2024-02-06 12:09:00+00:00,,,PO-25038870,,Cancelled,,rubix-orami_ORAMI,Orami Official Store - ORAMI,GNB0R35,Goo.N Smile Baby Comfort Fit L-18 .,'-,,,11800.0,3,35400.0,31506.0,,3.0,35400.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,6281281281752,,,Orami
2024-02-06 12:09:00+00:00,,,PO-25038870,,Cancelled,,rubix-orami_ORAMI,Orami Official Store - ORAMI,GNB0Q99,Goo.N Smile Baby Comfort Fit M-1,'-,,,61800.0,1,61800.0,55002.0,,1.0,61800.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,6281281281752,,,Orami
2024-02-06 12:55:00+00:00,,produksi,PO-25039310,,Cancelled,,rubix-orami_ORAMI,Orami Official Store - ORAMI,ORG2Y96,Free SGM Backpack,'-,,,0.0,1,0.0,0.0,,1.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,6289674654437,,,Orami
2024-02-06 12:55:00+00:00,,produksi,PO-25039310,,Cancelled,,rubix-orami_ORAMI,Orami Official Store - ORAMI,SHB6W52,SGM Eksplor 3+ dengan IronC Susu Bubuk Rasa Madu 900GR,'-,,,83700.0,4,334800.0,297972.0,,4.0,334800.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,6289674654437,,,Orami
2024-02-06 12:55:00+00:00,,produksi,PO-25039310,,Cancelled,,rubix-orami_ORAMI,Orami Official Store - ORAMI,ORG2X29,Free Generasi Maju Kit SGM,'-,,,0.0,1,0.0,0.0,,1.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,6289674654437,,,Orami
2024-02-06 12:55:00+00:00,,produksi,PO-25039310,,Cancelled,,rubix-orami_ORAMI,Orami Official Store - ORAMI,ORG3G48,Petualangan Anak SGM - Belajar di Pantai,'-,,,0.0,1,0.0,0.0,,1.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,6289674654437,,,Orami
